solution,revenue,profit,rent,gini,fairness,satisfaction,access_score,variety_score,crowd_penalty,walking_penalty,combined_score,nsga_rank,crowding_distance,is_pareto
现实布局,73489897.3483,18929193.961689,3432246.652705,0.698302,0.301698,0.5306,0.8825,0.6,0.0,0.02,0.133105,7,999.0,0
营业额最大方案,104971111.6644,29633092.559831,3432246.652705,0.716721,0.283279,0.569531,0.8825,0.733333,0.0,0.028906,0.739498,4,999.00141,0
租金利润方案,79790296.7239,21190572.162736,3313289.97003,0.736505,0.263495,0.565031,0.87125,0.733333,0.0,0.028906,0.20458,6,999.0,0
公平方案,88194418.8614,23870595.049902,3518812.129162,0.697708,0.302292,0.532475,0.887187,0.6,0.0,0.02,0.405671,6,999.0,0
满意度方案,106277378.5968,30142996.854223,3470974.469921,0.711544,0.288456,0.569856,0.882188,0.733333,0.0,0.025156,0.783736,2,999.470385,0
进化扰动方案1,103195978.148925,29035829.765664,3432246.652705,0.708778,0.291222,0.569475,0.8825,0.733333,0.0,0.029375,0.734932,3,1.062711,0
进化扰动方案2,100021581.998175,27978682.781812,3432246.652705,0.697436,0.302564,0.569531,0.8825,0.733333,0.0,0.028906,0.717459,2,0.410197,0
进化扰动方案3,99433887.16859,27729537.243416,3432246.652705,0.708223,0.291777,0.569531,0.8825,0.733333,0.0,0.028906,0.667967,3,0.202773,0
进化扰动方案4,105252565.440012,29750468.915099,3432246.652705,0.710982,0.289018,0.589419,0.8825,0.8,0.0,0.029844,0.815471,2,0.49483,0
进化扰动方案5,102035196.740107,28623022.643019,3432246.652705,0.714863,0.285137,0.569531,0.8825,0.733333,0.0,0.028906,0.692328,4,1.707388,0
进化扰动方案6,100654779.978213,28148833.817014,3432246.652705,0.709058,0.290942,0.609644,0.8825,0.866667,0.0,0.027969,0.788841,1,999.0,1
进化扰动方案7,97688279.664175,27164769.364163,3432246.652705,0.701556,0.298444,0.589475,0.8825,0.8,0.0,0.029375,0.710654,3,0.319501,0
进化扰动方案8,97515952.879434,27028244.915102,3432246.652705,0.708902,0.291098,0.609531,0.8825,0.866667,0.0,0.028906,0.730732,3,999.0,0
进化扰动方案9,105133277.469207,29697669.730447,3432246.652705,0.712596,0.287404,0.569588,0.8825,0.733333,0.0,0.028438,0.757195,3,999.620336,0
进化扰动方案10,101920456.73537,28654104.498706,3432246.652705,0.697649,0.302351,0.569475,0.8825,0.733333,0.0,0.029375,0.751823,2,0.177562,0
进化扰动方案11,106512672.533636,30154256.513406,3432246.652705,0.706878,0.293122,0.589531,0.8825,0.8,0.0,0.028906,0.852337,1,999.0,1
进化扰动方案12,105204427.579969,29688813.936096,3432246.652705,0.716432,0.283568,0.589531,0.8825,0.8,0.0,0.028906,0.794762,2,999.001879,0
进化扰动方案13,100747839.921881,28210876.650938,3432246.652705,0.718401,0.281599,0.589531,0.8825,0.8,0.0,0.028906,0.707851,3,999.000938,0
进化扰动方案14,99414047.671291,27705403.394711,3432246.652705,0.708709,0.291291,0.589531,0.8825,0.8,0.0,0.028906,0.716085,3,0.054796,0
进化扰动方案15,105384383.555429,29794438.394646,3432246.652705,0.715778,0.284222,0.589475,0.8825,0.8,0.0,0.029375,0.801278,2,0.060612,0
进化扰动方案16,102406042.930182,28764863.415096,3432246.652705,0.715701,0.284299,0.609531,0.8825,0.866667,0.0,0.028906,0.797749,2,0.173644,0
进化扰动方案17,96854729.631708,26850708.984403,3432246.652705,0.702027,0.297973,0.569475,0.8825,0.733333,0.0,0.029375,0.642497,4,0.795509,0
进化扰动方案18,101035841.556797,28305072.324494,3432246.652705,0.700801,0.299199,0.569531,0.8825,0.733333,0.0,0.028906,0.723707,2,0.233084,0
进化扰动方案19,98413627.523168,27415303.822749,3432246.652705,0.701879,0.298121,0.589644,0.8825,0.8,0.0,0.027969,0.723234,3,0.688432,0
进化扰动方案20,100581823.276932,28161212.530941,3432246.652705,0.689105,0.310895,0.549644,0.8825,0.666667,0.0,0.027969,0.706148,2,999.0,0
进化扰动方案21,99014070.348656,27587062.930908,3432246.652705,0.689938,0.310062,0.589419,0.8825,0.8,0.0,0.029844,0.774372,3,0.501174,0
进化扰动方案22,97079668.041796,26955570.964019,3432246.652705,0.704482,0.295518,0.589475,0.8825,0.8,0.0,0.029375,0.689344,4,999.0,0
进化扰动方案23,99940200.112902,27923177.068062,3432246.652705,0.710104,0.289896,0.589588,0.8825,0.8,0.0,0.028438,0.721898,3,0.308597,0
进化扰动方案24,93078816.483309,25572455.742128,3432246.652705,0.689648,0.310352,0.569531,0.8825,0.733333,0.0,0.028906,0.617296,3,999.000938,0
进化扰动方案25,105549859.006291,29827536.302786,3432246.652705,0.707043,0.292957,0.569588,0.8825,0.733333,0.0,0.028438,0.783818,2,0.264618,0
进化扰动方案26,102933234.486854,28948776.869096,3432246.652705,0.699338,0.300662,0.609531,0.8825,0.866667,0.0,0.028906,0.864458,1,1.130113,1
进化扰动方案27,97066338.823717,26940677.381467,3432246.652705,0.686386,0.313614,0.569531,0.8825,0.733333,0.0,0.028906,0.701431,2,0.511202,0
进化扰动方案28,97026239.456963,26940959.192804,3432246.652705,0.695501,0.304499,0.609588,0.8825,0.866667,0.0,0.028438,0.770644,1,0.613359,1
进化扰动方案29,100463786.869759,28116275.541489,3432246.652705,0.705679,0.294321,0.549588,0.8825,0.666667,0.0,0.028438,0.645997,3,999.0,0
进化扰动方案30,101036616.988571,28324901.719447,3432246.652705,0.68479,0.31521,0.609531,0.8825,0.866667,0.0,0.028906,0.881204,1,0.859181,1
进化扰动方案31,93099005.850023,25600203.37374,3432246.652705,0.690916,0.309084,0.589588,0.8825,0.8,0.0,0.028438,0.664514,3,0.304279,0
进化扰动方案32,102108809.952587,28715690.457914,3432246.652705,0.701711,0.298289,0.569588,0.8825,0.733333,0.0,0.028438,0.741318,2,0.173464,0
进化扰动方案33,99377894.017104,27740533.308391,3432246.652705,0.689416,0.310584,0.609475,0.8825,0.866667,0.0,0.029375,0.834292,2,0.42341,0
进化扰动方案34,102467760.138406,28819730.067459,3432246.652705,0.697939,0.302061,0.569419,0.8825,0.733333,0.0,0.029844,0.760108,2,0.657653,0
进化扰动方案35,95605866.6932,26433418.49935,3432246.652705,0.679102,0.320898,0.589588,0.8825,0.8,0.0,0.028438,0.75075,1,999.988813,1
进化扰动方案36,98187013.651194,27313940.958239,3432246.652705,0.692841,0.307159,0.569419,0.8825,0.733333,0.0,0.029844,0.698826,4,1.94905,0
进化扰动方案37,102450624.133494,28780443.750525,3432246.652705,0.709615,0.290385,0.549588,0.8825,0.666667,0.0,0.028438,0.6681,4,999.0,0
进化扰动方案38,98803876.551961,27553548.705414,3432246.652705,0.700386,0.299614,0.609531,0.8825,0.866667,0.0,0.028906,0.785987,2,999.0,0
进化扰动方案39,104135317.669165,29358919.003536,3432246.652705,0.704677,0.295323,0.589419,0.8825,0.8,0.0,0.029844,0.816842,2,0.521339,0
进化扰动方案40,97172321.544254,26930305.03283,3432246.652705,0.682205,0.317795,0.609588,0.8825,0.866667,0.0,0.028438,0.81812,1,0.661739,1
进化扰动方案41,95427944.377912,26363532.480091,3432246.652705,0.693,0.307,0.569475,0.8825,0.733333,0.0,0.029375,0.64797,5,999.0,0
进化扰动方案42,100621792.571754,28124769.22397,3432246.652705,0.706656,0.293344,0.589588,0.8825,0.8,0.0,0.028438,0.745545,2,0.472172,0
进化扰动方案43,92281484.073013,25260239.227687,3432246.652705,0.682765,0.317235,0.609419,0.8825,0.866667,0.0,0.029844,0.726688,2,999.332081,0
进化扰动方案44,99186227.179446,27667864.573028,3432246.652705,0.697586,0.302414,0.569475,0.8825,0.733333,0.0,0.029375,0.700948,3,0.318695,0
进化扰动方案45,95600182.904773,26458331.4916,3432246.652705,0.692377,0.307623,0.589419,0.8825,0.8,0.0,0.029844,0.704639,4,999.5,0
进化扰动方案46,105118193.548452,29703468.286376,3432246.652705,0.69516,0.30484,0.609419,0.8825,0.866667,0.0,0.029844,0.918726,1,1.40054,1
进化扰动方案47,94058099.677202,25877375.160366,3432246.652705,0.694199,0.305801,0.589531,0.8825,0.8,0.0,0.028906,0.669141,3,0.94551,0
进化扰动方案48,96332948.943192,26749720.591862,3432246.652705,0.688458,0.311542,0.569644,0.8825,0.733333,0.0,0.027969,0.682627,2,0.771283,0
折中方案,105118193.548452,29703468.286376,3432246.652705,0.69516,0.30484,0.609419,0.8825,0.866667,0.0,0.029844,0.918726,1,0.600798,1
